"age","marital","education","housing","loan","contact","month","duration","pdays","TermDeposit"
31,"single","secondary","no","no","cellular","aug",138,-1,"no"
33,"married","secondary","no","no","cellular","aug",238,265,"no"
52,"single","primary","no","no","unknown","jun",212,-1,"no"
56,"divorced","primary","yes","no","cellular","may",132,-1,"no"
59,"divorced","secondary","yes","yes","unknown","may",171,-1,"no"
45,"married","secondary","yes","no","cellular","may",444,-1,"no"
33,"single","secondary","no","no","cellular","aug",66,-1,"no"
36,"married","primary","no","no","unknown","jun",149,-1,"no"
38,"divorced","tertiary","no","no","cellular","aug",323,-1,"no"
23,"single","secondary","yes","no","cellular","may",158,318,"no"
30,"married","secondary","no","no","cellular","aug",101,-1,"no"
60,"married","primary","no","no","cellular","may",160,83,"no"
34,"married","secondary","yes","no","unknown","may",266,-1,"no"
53,"married","primary","yes","no","unknown","may",267,-1,"no"
42,"married","secondary","no","no","cellular","aug",119,-1,"no"
42,"married","tertiary","no","no","cellular","nov",158,-1,"no"
30,"single","tertiary","no","no","cellular","oct",463,95,"yes"
43,"divorced","tertiary","yes","no","unknown","may",2087,-1,"yes"
32,"married","secondary","yes","no","cellular","may",321,-1,"no"
62,"married","tertiary","no","no","cellular","feb",181,-1,"no"
31,"married","secondary","yes","yes","cellular","apr",1091,-1,"yes"
45,"married","tertiary","no","no","cellular","jun",160,-1,"no"
53,"married","unknown","no","no","cellular","aug",160,-1,"no"
58,"married","tertiary","yes","no","cellular","jun",1361,391,"no"
44,"divorced","secondary","yes","no","unknown","may",89,-1,"no"
54,"divorced","primary","no","no","unknown","jun",58,-1,"no"
57,"married","tertiary","no","no","cellular","feb",633,-1,"no"
43,"divorced","secondary","no","no","telephone","jul",296,-1,"no"
55,"divorced","secondary","yes","no","cellular","aug",174,-1,"no"
52,"married","secondary","no","yes","cellular","jul",1029,-1,"no"
58,"married","unknown","yes","no","cellular","may",57,366,"no"
38,"single","tertiary","yes","no","unknown","jun",1422,-1,"yes"
40,"married","secondary","yes","no","cellular","apr",642,304,"no"
28,"married","primary","no","no","unknown","may",40,-1,"no"
52,"married","unknown","yes","no","cellular","jul",101,-1,"no"
40,"divorced","secondary","yes","no","unknown","jun",424,-1,"no"
30,"married","tertiary","no","no","cellular","aug",605,-1,"no"
57,"married","secondary","no","no","cellular","aug",197,-1,"no"
53,"married","secondary","no","yes","cellular","nov",113,132,"no"
31,"single","secondary","no","no","cellular","aug",744,88,"yes"
39,"divorced","tertiary","no","no","unknown","may",815,-1,"no"
55,"divorced","secondary","no","no","cellular","may",275,219,"no"
52,"married","tertiary","yes","yes","cellular","nov",68,110,"no"
29,"single","secondary","yes","yes","cellular","jul",293,-1,"no"
32,"married","unknown","no","no","unknown","may",115,-1,"no"
31,"married","secondary","yes","no","unknown","may",101,-1,"no"
63,"married","unknown","no","no","cellular","feb",125,177,"no"
29,"married","secondary","yes","no","cellular","may",50,-1,"no"
20,"single","unknown","no","no","cellular","apr",98,-1,"no"
40,"single","secondary","no","no","cellular","jul",156,-1,"no"
40,"married","secondary","yes","no","unknown","may",192,-1,"no"
58,"married","secondary","yes","no","unknown","jun",47,-1,"no"
53,"married","primary","yes","yes","cellular","may",343,167,"no"
31,"married","secondary","no","no","unknown","may",380,-1,"no"
43,"married","secondary","no","no","cellular","jun",482,91,"yes"
53,"married","secondary","no","no","telephone","jul",34,-1,"no"
30,"single","secondary","yes","no","cellular","apr",218,330,"no"
28,"single","tertiary","no","no","cellular","oct",786,-1,"no"
33,"divorced","secondary","yes","no","cellular","may",124,-1,"no"
42,"married","secondary","yes","yes","cellular","may",120,-1,"no"
46,"single","tertiary","no","no","cellular","aug",218,-1,"no"
29,"married","tertiary","no","no","cellular","may",344,88,"yes"
32,"single","secondary","yes","yes","unknown","may",385,-1,"no"
36,"married","secondary","yes","no","unknown","may",128,-1,"no"
40,"single","secondary","yes","yes","cellular","apr",272,335,"no"
51,"married","primary","no","no","cellular","aug",228,-1,"no"
33,"single","secondary","yes","no","unknown","jun",32,-1,"no"
28,"single","secondary","yes","yes","cellular","may",390,-1,"yes"
40,"married","primary","yes","no","unknown","may",126,-1,"no"
40,"married","secondary","yes","no","cellular","jul",39,-1,"no"
29,"married","secondary","yes","yes","cellular","may",100,356,"no"
29,"single","tertiary","yes","no","unknown","jun",20,-1,"no"
57,"married","secondary","no","no","telephone","nov",90,-1,"no"
22,"single","tertiary","yes","no","cellular","may",98,89,"no"
60,"divorced","secondary","no","no","cellular","aug",318,-1,"yes"
60,"married","tertiary","no","no","cellular","feb",121,95,"no"
32,"single","secondary","no","yes","cellular","jul",387,-1,"no"
35,"married","secondary","yes","no","cellular","may",345,-1,"yes"
30,"single","primary","yes","no","cellular","feb",131,265,"no"
44,"married","secondary","yes","no","cellular","may",240,-1,"no"
30,"single","secondary","yes","no","cellular","may",267,354,"no"
28,"single","secondary","yes","yes","unknown","may",158,-1,"no"
38,"single","tertiary","yes","no","cellular","apr",479,-1,"no"
38,"single","secondary","yes","no","cellular","may",364,343,"no"
48,"married","secondary","yes","no","cellular","may",56,343,"no"
58,"married","secondary","yes","no","telephone","jul",246,-1,"no"
42,"married","tertiary","no","no","cellular","apr",102,-1,"no"
44,"married","secondary","yes","yes","unknown","may",437,-1,"no"
57,"married","secondary","no","no","cellular","feb",485,-1,"no"
48,"married","secondary","yes","no","cellular","feb",62,-1,"no"
39,"married","tertiary","no","no","unknown","jun",104,-1,"no"
39,"married","secondary","no","no","unknown","jun",95,-1,"no"
36,"married","tertiary","yes","no","cellular","nov",369,-1,"no"
59,"divorced","primary","no","no","cellular","feb",150,-1,"no"
43,"divorced","tertiary","no","yes","unknown","jun",344,-1,"no"
39,"single","secondary","yes","no","cellular","nov",162,-1,"no"
35,"single","tertiary","no","no","cellular","aug",86,-1,"no"
37,"single","secondary","yes","no","cellular","apr",121,315,"no"
38,"married","tertiary","yes","no","unknown","jun",221,-1,"no"
21,"single","secondary","no","no","cellular","aug",487,-1,"no"
48,"married","primary","no","no","cellular","aug",219,-1,"no"
77,"married","tertiary","no","no","cellular","aug",286,-1,"yes"
29,"married","secondary","yes","no","unknown","jun",562,-1,"yes"
34,"married","secondary","yes","no","cellular","jul",132,-1,"no"
54,"married","primary","yes","no","cellular","may",77,341,"no"
39,"married","primary","yes","no","unknown","jun",350,-1,"no"
35,"married","primary","yes","no","cellular","may",318,-1,"no"
45,"married","secondary","no","no","telephone","may",180,-1,"no"
58,"married","primary","no","no","cellular","aug",112,-1,"no"
26,"married","unknown","yes","no","cellular","apr",1018,-1,"no"
23,"single","secondary","yes","no","unknown","may",544,-1,"no"
44,"married","tertiary","no","no","cellular","aug",317,-1,"no"
53,"married","tertiary","yes","no","unknown","may",509,-1,"no"
38,"married","secondary","no","no","unknown","jun",115,-1,"no"
45,"married","tertiary","yes","no","cellular","apr",73,-1,"no"
52,"married","tertiary","no","no","cellular","aug",161,-1,"no"
41,"divorced","secondary","yes","no","cellular","may",123,365,"no"
32,"single","secondary","no","no","cellular","aug",210,-1,"no"
24,"single","secondary","no","no","unknown","jun",1075,-1,"no"
43,"single","primary","no","no","cellular","jul",35,-1,"no"
51,"married","primary","no","no","unknown","jun",86,-1,"no"
40,"married","primary","no","no","unknown","jun",14,-1,"no"
45,"married","tertiary","yes","no","cellular","nov",146,-1,"no"
54,"married","secondary","yes","yes","cellular","jul",69,-1,"no"
46,"divorced","secondary","yes","yes","cellular","may",195,-1,"no"
66,"married","secondary","no","no","cellular","aug",72,-1,"no"
52,"divorced","tertiary","no","no","cellular","jul",454,-1,"no"
57,"married","tertiary","no","no","cellular","aug",250,107,"no"
30,"married","tertiary","yes","no","cellular","nov",206,119,"no"
47,"married","secondary","yes","no","unknown","jun",89,-1,"no"
58,"married","secondary","no","no","cellular","aug",110,-1,"no"
26,"single","tertiary","yes","no","cellular","sep",137,-1,"yes"
46,"divorced","primary","yes","no","unknown","may",20,-1,"no"
41,"divorced","tertiary","no","no","telephone","feb",147,-1,"no"
54,"married","secondary","yes","no","unknown","jun",534,-1,"no"
58,"married","secondary","no","no","unknown","jun",443,-1,"no"
44,"divorced","tertiary","no","yes","cellular","nov",661,-1,"no"
36,"married","secondary","yes","no","unknown","may",178,-1,"no"
37,"single","unknown","no","no","cellular","sep",272,-1,"yes"
55,"married","tertiary","no","yes","cellular","jul",126,-1,"no"
40,"single","tertiary","yes","no","cellular","jul",449,-1,"no"
55,"married","unknown","no","no","unknown","may",677,-1,"no"
37,"married","primary","yes","no","unknown","may",217,-1,"no"
39,"married","secondary","yes","no","cellular","may",94,338,"no"
28,"single","tertiary","yes","no","cellular","aug",108,-1,"no"
39,"married","tertiary","yes","no","unknown","may",278,-1,"no"
38,"single","secondary","yes","yes","cellular","apr",71,345,"no"
37,"divorced","secondary","yes","no","unknown","may",507,-1,"no"
38,"married","secondary","yes","no","cellular","may",218,331,"no"
41,"divorced","tertiary","no","no","cellular","aug",229,-1,"no"
26,"single","tertiary","yes","no","cellular","may",445,371,"no"
42,"married","secondary","yes","no","unknown","may",55,-1,"no"
47,"married","secondary","yes","yes","unknown","may",136,-1,"no"
35,"married","secondary","no","no","cellular","jul",248,-1,"no"
33,"single","tertiary","yes","no","cellular","oct",209,427,"yes"
49,"divorced","tertiary","yes","no","unknown","may",169,-1,"no"
35,"married","primary","yes","no","cellular","jul",127,-1,"no"
32,"married","primary","no","no","unknown","may",881,-1,"no"
43,"married","secondary","yes","yes","cellular","jul",56,-1,"no"
55,"divorced","tertiary","yes","no","cellular","feb",115,-1,"no"
50,"divorced","primary","yes","no","cellular","may",67,-1,"no"
33,"married","tertiary","no","no","cellular","oct",649,-1,"yes"
40,"married","primary","yes","no","unknown","jun",20,-1,"no"
39,"married","secondary","no","no","cellular","aug",76,-1,"no"
29,"single","secondary","no","no","cellular","feb",214,-1,"no"
47,"divorced","tertiary","yes","no","cellular","jul",137,-1,"no"
33,"married","tertiary","no","no","cellular","may",119,-1,"no"
60,"married","secondary","no","no","telephone","jun",351,-1,"yes"
36,"divorced","tertiary","no","yes","cellular","jul",560,-1,"yes"
35,"married","tertiary","yes","no","cellular","aug",174,-1,"no"
22,"single","secondary","yes","no","unknown","may",59,-1,"no"
33,"married","secondary","yes","yes","cellular","may",771,173,"no"
39,"divorced","tertiary","no","yes","cellular","feb",265,-1,"no"
57,"divorced","unknown","no","no","cellular","dec",222,231,"yes"
57,"married","primary","yes","yes","cellular","may",108,371,"no"
43,"married","primary","yes","no","cellular","nov",25,-1,"no"
43,"married","secondary","no","no","unknown","jun",27,-1,"no"
34,"married","secondary","yes","no","cellular","apr",428,-1,"no"
44,"single","unknown","yes","no","cellular","jul",297,-1,"no"
52,"married","tertiary","yes","no","unknown","jun",124,-1,"no"
38,"married","secondary","yes","no","cellular","apr",187,332,"no"
31,"married","primary","yes","no","cellular","may",119,-1,"no"
38,"married","secondary","yes","no","unknown","jun",601,-1,"no"
42,"married","secondary","yes","no","cellular","may",261,344,"no"
29,"married","tertiary","no","no","cellular","feb",128,-1,"no"
31,"single","tertiary","no","no","cellular","feb",100,-1,"no"
54,"divorced","tertiary","yes","yes","telephone","nov",1034,-1,"yes"
59,"married","secondary","no","no","cellular","nov",243,174,"no"
43,"married","secondary","no","no","unknown","jun",216,-1,"no"
38,"single","secondary","no","no","cellular","jan",240,92,"no"
40,"married","tertiary","yes","no","telephone","may",95,-1,"no"
33,"single","tertiary","yes","no","unknown","may",237,-1,"no"
30,"single","secondary","yes","no","cellular","apr",90,151,"no"
31,"single","primary","no","no","cellular","jan",707,2,"yes"
25,"single","secondary","yes","no","telephone","may",170,-1,"no"
42,"married","secondary","yes","no","cellular","apr",179,-1,"no"
35,"married","tertiary","no","no","cellular","aug",885,-1,"no"
28,"single","primary","yes","no","cellular","may",533,371,"yes"
50,"single","tertiary","yes","no","cellular","jan",50,258,"no"
50,"married","primary","yes","no","cellular","aug",526,-1,"yes"
39,"divorced","secondary","yes","no","cellular","nov",141,-1,"no"
49,"married","tertiary","no","no","cellular","jul",258,-1,"no"
29,"single","secondary","yes","yes","cellular","may",51,345,"no"
37,"single","tertiary","no","no","cellular","nov",188,165,"no"
33,"married","primary","yes","yes","cellular","may",170,-1,"no"
25,"divorced","tertiary","yes","no","cellular","may",273,-1,"no"
29,"married","primary","yes","no","unknown","jun",187,-1,"no"
38,"married","unknown","no","no","cellular","jul",233,-1,"no"
40,"divorced","secondary","yes","no","unknown","may",121,-1,"no"
37,"married","secondary","no","no","cellular","jun",657,-1,"yes"
45,"married","tertiary","yes","no","cellular","feb",94,-1,"no"
38,"married","primary","yes","no","cellular","feb",43,-1,"no"
27,"single","secondary","no","no","telephone","apr",116,-1,"no"
47,"married","primary","no","no","unknown","jun",191,-1,"no"
39,"married","tertiary","yes","yes","unknown","may",102,-1,"no"
38,"married","secondary","no","yes","cellular","jul",93,-1,"no"
40,"married","primary","yes","no","cellular","apr",228,347,"no"
41,"single","tertiary","no","no","cellular","nov",1121,-1,"no"
36,"married","secondary","no","no","cellular","feb",297,-1,"no"
52,"married","tertiary","yes","no","telephone","may",46,287,"no"
31,"single","secondary","yes","no","cellular","may",270,366,"no"
38,"married","secondary","yes","yes","cellular","may",146,-1,"no"
38,"married","tertiary","yes","no","cellular","feb",89,209,"no"
53,"married","secondary","yes","no","cellular","may",273,-1,"no"
30,"single","tertiary","yes","no","unknown","jun",142,-1,"no"
44,"married","primary","yes","no","unknown","may",36,-1,"no"
41,"divorced","tertiary","no","no","cellular","feb",475,-1,"no"
31,"single","secondary","yes","no","cellular","may",82,-1,"no"
35,"married","secondary","yes","yes","unknown","may",60,-1,"no"
51,"married","secondary","no","yes","unknown","jun",721,-1,"yes"
33,"single","tertiary","yes","no","cellular","may",585,-1,"yes"
60,"married","secondary","no","no","telephone","aug",268,-1,"no"
33,"married","secondary","no","no","cellular","aug",80,-1,"no"
40,"married","tertiary","yes","no","cellular","jul",96,-1,"no"
26,"single","secondary","yes","no","cellular","may",57,-1,"no"
47,"married","secondary","yes","no","cellular","may",577,368,"no"
47,"married","secondary","no","no","cellular","aug",252,-1,"no"
29,"single","tertiary","no","no","cellular","oct",542,148,"yes"
33,"single","secondary","no","yes","cellular","aug",160,-1,"no"
46,"married","primary","yes","no","unknown","jun",92,-1,"no"
51,"married","primary","yes","no","telephone","jul",215,-1,"no"
28,"single","tertiary","yes","no","unknown","may",98,-1,"no"
41,"married","primary","yes","no","cellular","nov",290,165,"no"
46,"divorced","secondary","no","no","cellular","jul",638,-1,"no"
35,"married","tertiary","no","no","cellular","aug",222,182,"yes"
37,"married","secondary","yes","no","unknown","may",412,-1,"no"
32,"single","tertiary","no","no","unknown","may",757,-1,"yes"
54,"married","secondary","no","no","unknown","jun",207,-1,"no"
35,"married","tertiary","yes","no","cellular","jul",56,-1,"no"
35,"married","secondary","no","no","unknown","jun",209,-1,"no"
54,"married","secondary","no","no","cellular","mar",222,188,"yes"
35,"married","unknown","yes","no","cellular","apr",97,318,"no"
30,"married","tertiary","no","no","cellular","nov",364,175,"no"
51,"married","secondary","no","no","cellular","feb",149,-1,"no"
56,"divorced","secondary","yes","no","cellular","nov",682,-1,"no"
32,"married","secondary","no","no","cellular","jan",119,-1,"no"
33,"married","secondary","no","no","unknown","may",144,-1,"no"
33,"single","secondary","yes","no","cellular","aug",58,-1,"no"
52,"single","tertiary","yes","yes","unknown","may",132,-1,"no"
33,"single","tertiary","no","no","cellular","nov",201,-1,"no"
46,"married","primary","yes","yes","unknown","may",108,-1,"no"
43,"married","secondary","no","no","cellular","jul",231,-1,"no"
35,"married","secondary","yes","yes","unknown","may",208,-1,"no"
39,"married","secondary","no","no","unknown","jun",264,-1,"no"
45,"married","secondary","no","no","unknown","jun",13,-1,"no"
81,"married","primary","no","no","cellular","oct",131,-1,"yes"
32,"single","tertiary","yes","no","cellular","feb",172,92,"no"
35,"single","secondary","no","yes","cellular","jan",109,-1,"no"
49,"divorced","primary","no","no","cellular","jul",305,-1,"no"
41,"married","primary","yes","no","unknown","may",120,-1,"no"
32,"married","secondary","yes","yes","cellular","may",44,-1,"no"
24,"single","secondary","no","no","cellular","jul",314,156,"yes"
29,"single","tertiary","yes","no","cellular","jul",231,-1,"no"
32,"single","secondary","yes","yes","unknown","jul",99,-1,"no"
39,"single","tertiary","yes","no","cellular","jan",169,-1,"no"
48,"married","primary","no","no","cellular","sep",589,186,"no"
54,"married","secondary","no","no","unknown","may",151,-1,"no"
31,"single","tertiary","yes","no","unknown","may",58,-1,"no"
46,"divorced","secondary","yes","no","unknown","may",120,-1,"no"
45,"single","tertiary","no","no","cellular","jul",230,-1,"no"
46,"single","tertiary","yes","no","unknown","may",36,-1,"no"
31,"single","tertiary","no","no","cellular","feb",577,-1,"no"
54,"married","tertiary","no","no","cellular","aug",282,-1,"no"
39,"married","primary","yes","no","unknown","jun",88,-1,"no"
45,"single","secondary","yes","no","cellular","may",86,367,"no"
64,"married","unknown","no","no","telephone","sep",378,-1,"no"
39,"married","tertiary","yes","yes","cellular","aug",88,-1,"no"
60,"divorced","primary","no","yes","telephone","jul",58,-1,"no"
38,"married","secondary","no","no","unknown","jun",76,-1,"no"
56,"married","unknown","no","no","cellular","aug",900,-1,"no"
36,"single","primary","no","no","cellular","nov",341,-1,"no"
50,"married","primary","no","yes","cellular","nov",61,136,"no"
33,"married","primary","yes","no","cellular","may",246,-1,"no"
35,"single","tertiary","no","no","cellular","aug",256,-1,"no"
52,"married","secondary","yes","yes","cellular","jan",446,182,"no"
32,"married","secondary","yes","no","unknown","may",84,-1,"no"
60,"married","secondary","no","no","cellular","jan",139,171,"no"
34,"married","secondary","no","yes","unknown","jul",193,-1,"no"
35,"married","tertiary","yes","no","unknown","may",659,-1,"no"
33,"married","secondary","no","no","cellular","nov",109,10,"no"
25,"single","secondary","no","no","cellular","dec",262,-1,"no"
30,"single","secondary","no","no","telephone","nov",519,-1,"no"
38,"married","secondary","no","no","cellular","aug",195,197,"yes"
59,"married","primary","no","yes","cellular","jul",25,-1,"no"
31,"single","secondary","no","yes","cellular","jul",120,-1,"no"
36,"married","secondary","no","no","cellular","jan",424,-1,"no"
33,"married","tertiary","yes","no","unknown","sep",11,490,"no"
39,"married","tertiary","yes","no","cellular","jul",97,-1,"no"
36,"single","tertiary","no","no","cellular","may",211,90,"yes"
33,"single","primary","no","no","cellular","feb",382,-1,"no"
38,"married","secondary","yes","no","cellular","aug",71,-1,"no"
46,"married","tertiary","yes","no","cellular","nov",284,-1,"no"
28,"single","tertiary","no","no","cellular","sep",1042,200,"yes"
45,"married","secondary","yes","no","unknown","may",609,-1,"no"
46,"married","secondary","yes","yes","cellular","aug",122,-1,"no"
29,"single","secondary","yes","yes","cellular","may",228,-1,"no"
57,"married","secondary","no","no","cellular","jul",131,-1,"no"
36,"divorced","secondary","yes","no","unknown","may",129,-1,"no"
25,"single","secondary","yes","yes","unknown","jun",361,-1,"no"
36,"married","secondary","yes","no","unknown","may",206,-1,"no"
28,"single","secondary","no","no","cellular","feb",79,-1,"yes"
59,"divorced","secondary","no","yes","cellular","feb",14,-1,"no"
35,"married","secondary","no","yes","unknown","jun",107,-1,"no"
47,"divorced","tertiary","no","no","cellular","feb",291,-1,"no"
56,"married","primary","yes","no","cellular","may",1014,-1,"no"
38,"married","secondary","yes","no","telephone","jul",264,-1,"no"
41,"single","tertiary","yes","no","cellular","nov",150,-1,"no"
57,"divorced","secondary","yes","no","unknown","may",173,-1,"no"
33,"married","secondary","yes","no","unknown","may",410,-1,"no"
46,"married","secondary","yes","yes","unknown","may",345,-1,"no"
30,"single","secondary","no","yes","cellular","aug",43,-1,"no"
50,"married","tertiary","yes","no","cellular","aug",36,-1,"no"
24,"single","secondary","yes","no","cellular","may",85,358,"no"
31,"married","primary","yes","no","cellular","apr",193,322,"no"
28,"married","primary","yes","no","unknown","jun",41,-1,"no"
55,"divorced","primary","no","no","telephone","feb",225,6,"no"
47,"married","secondary","yes","no","cellular","nov",92,-1,"no"
48,"married","secondary","yes","no","cellular","apr",152,336,"no"
56,"married","primary","yes","no","telephone","may",462,-1,"yes"
40,"married","unknown","no","yes","cellular","jul",161,-1,"no"
33,"divorced","secondary","yes","no","unknown","may",148,-1,"no"
26,"single","secondary","no","no","cellular","jun",113,109,"no"
47,"married","primary","no","no","unknown","jun",180,-1,"no"
38,"married","secondary","no","no","unknown","jul",84,-1,"no"
28,"single","secondary","no","no","cellular","sep",115,-1,"yes"
31,"single","tertiary","no","yes","cellular","jul",564,-1,"yes"
31,"single","tertiary","no","no","cellular","aug",125,-1,"no"
47,"married","tertiary","no","no","cellular","jun",154,-1,"no"
22,"single","primary","yes","no","cellular","may",237,-1,"no"
52,"single","tertiary","yes","no","cellular","nov",79,-1,"no"
30,"single","tertiary","yes","no","cellular","aug",241,-1,"no"
25,"married","tertiary","yes","no","cellular","jul",115,-1,"no"
41,"married","secondary","yes","no","telephone","may",64,347,"no"
57,"married","secondary","no","no","cellular","jun",88,-1,"no"
44,"married","secondary","no","no","cellular","aug",159,-1,"no"
38,"married","tertiary","yes","no","unknown","may",262,-1,"no"
32,"married","secondary","yes","yes","cellular","aug",341,-1,"no"
21,"married","secondary","yes","yes","unknown","may",168,-1,"no"
24,"single","secondary","no","no","cellular","sep",256,-1,"yes"
54,"married","tertiary","yes","no","unknown","may",83,-1,"no"
54,"married","tertiary","no","no","cellular","aug",150,-1,"no"
51,"married","secondary","no","no","cellular","aug",467,88,"yes"
27,"married","secondary","yes","no","unknown","jun",188,-1,"no"
49,"married","tertiary","yes","no","cellular","aug",152,-1,"no"
36,"married","tertiary","no","no","cellular","aug",184,-1,"no"
42,"married","primary","yes","yes","unknown","may",272,-1,"no"
26,"single","secondary","yes","no","cellular","may",599,-1,"no"
77,"married","primary","no","no","telephone","nov",212,277,"yes"
44,"married","primary","yes","no","unknown","may",408,-1,"no"
37,"married","tertiary","no","no","cellular","jan",153,225,"no"
46,"single","tertiary","yes","no","cellular","jul",87,-1,"no"
32,"married","tertiary","yes","no","cellular","jul",29,-1,"no"
35,"married","tertiary","no","no","cellular","jun",80,92,"no"
52,"married","secondary","no","no","cellular","jan",338,-1,"no"
32,"married","secondary","no","no","cellular","may",215,-1,"no"
49,"divorced","secondary","yes","yes","cellular","may",469,350,"no"
41,"married","primary","yes","no","cellular","apr",122,338,"no"
41,"married","primary","yes","yes","unknown","may",207,-1,"no"
40,"divorced","secondary","yes","yes","unknown","may",385,-1,"no"
27,"single","unknown","no","no","unknown","jun",240,-1,"no"
53,"married","secondary","yes","no","telephone","jul",182,-1,"no"
37,"married","secondary","yes","no","cellular","nov",68,194,"no"
31,"single","tertiary","no","no","cellular","aug",179,-1,"no"
40,"single","tertiary","yes","no","unknown","may",181,-1,"no"
39,"married","tertiary","yes","no","cellular","may",112,-1,"no"
34,"married","secondary","no","no","cellular","aug",192,-1,"no"
50,"married","secondary","yes","yes","cellular","jan",391,191,"no"
43,"divorced","secondary","yes","no","telephone","feb",362,-1,"no"
54,"divorced","tertiary","no","no","cellular","aug",56,-1,"no"
37,"single","secondary","yes","no","telephone","jan",143,-1,"no"
47,"divorced","secondary","yes","no","unknown","may",268,-1,"no"
54,"married","tertiary","no","no","cellular","nov",206,-1,"no"
28,"single","secondary","yes","no","cellular","may",92,-1,"no"
36,"married","tertiary","yes","no","unknown","may",125,-1,"no"
29,"single","primary","no","no","cellular","jan",451,-1,"no"
35,"married","secondary","yes","no","cellular","apr",123,-1,"no"
35,"married","primary","yes","no","unknown","may",212,-1,"no"
32,"single","primary","yes","no","unknown","jun",25,-1,"no"
32,"married","tertiary","no","no","cellular","aug",195,-1,"no"
67,"divorced","secondary","no","no","cellular","may",613,87,"yes"
39,"single","unknown","yes","yes","cellular","feb",99,-1,"no"
54,"married","secondary","yes","yes","cellular","nov",92,-1,"no"
32,"married","secondary","yes","no","cellular","may",88,370,"no"
52,"divorced","tertiary","yes","yes","cellular","jun",122,64,"no"
32,"single","tertiary","yes","no","cellular","nov",171,127,"no"
34,"married","tertiary","no","no","cellular","aug",472,-1,"no"
47,"married","tertiary","yes","no","unknown","jun",130,-1,"no"
61,"married","primary","yes","no","unknown","may",204,-1,"no"
49,"married","secondary","no","no","unknown","jun",13,-1,"no"
36,"single","tertiary","no","no","cellular","aug",150,-1,"no"
45,"married","secondary","yes","yes","cellular","aug",368,-1,"no"
40,"single","secondary","yes","no","cellular","apr",234,323,"no"
42,"married","secondary","yes","yes","cellular","feb",43,-1,"no"
45,"married","secondary","no","no","cellular","jul",95,-1,"no"
53,"married","secondary","no","yes","cellular","aug",58,-1,"no"
51,"single","primary","yes","no","cellular","may",98,-1,"no"
22,"single","secondary","no","no","unknown","may",223,-1,"no"
33,"married","secondary","yes","yes","unknown","may",221,-1,"no"
35,"single","secondary","yes","no","cellular","nov",21,185,"no"
36,"married","tertiary","no","no","cellular","aug",242,95,"yes"
34,"single","tertiary","no","no","cellular","nov",115,-1,"no"
22,"married","secondary","yes","no","unknown","jun",525,-1,"no"
47,"single","unknown","no","no","cellular","oct",385,-1,"yes"
47,"married","secondary","yes","no","cellular","aug",151,-1,"no"
38,"married","tertiary","yes","no","cellular","sep",91,213,"no"
37,"single","tertiary","no","no","unknown","jun",542,-1,"no"
43,"married","secondary","no","no","unknown","may",180,-1,"no"
58,"divorced","primary","no","yes","cellular","jul",161,-1,"no"
39,"divorced","tertiary","no","no","cellular","aug",68,-1,"no"
31,"single","secondary","yes","no","unknown","may",89,-1,"no"
40,"single","secondary","yes","no","cellular","may",7,360,"no"
42,"divorced","primary","yes","no","cellular","jul",1175,-1,"yes"
36,"divorced","secondary","yes","no","unknown","may",153,-1,"no"
66,"divorced","primary","no","no","telephone","mar",834,-1,"yes"
61,"married","primary","no","no","cellular","oct",55,-1,"no"
60,"married","tertiary","no","yes","cellular","jul",79,-1,"no"
30,"single","secondary","yes","no","cellular","jul",112,-1,"no"
33,"single","secondary","no","no","cellular","aug",168,-1,"no"
32,"married","tertiary","no","no","cellular","aug",186,-1,"no"
49,"married","secondary","no","no","unknown","may",206,-1,"no"
35,"married","secondary","no","no","cellular","jul",153,-1,"no"
53,"married","tertiary","yes","no","cellular","jul",471,-1,"no"
30,"single","secondary","no","yes","cellular","jul",169,-1,"no"
31,"single","tertiary","no","no","cellular","feb",144,91,"yes"
53,"divorced","secondary","no","no","cellular","jul",416,-1,"no"
32,"divorced","tertiary","no","no","unknown","may",148,-1,"no"
31,"single","secondary","yes","no","unknown","may",128,-1,"no"
48,"divorced","tertiary","no","no","cellular","aug",152,-1,"no"
55,"divorced","tertiary","no","no","cellular","aug",237,-1,"yes"
32,"single","secondary","yes","no","cellular","may",238,169,"no"
25,"married","secondary","yes","no","cellular","may",177,-1,"no"
32,"divorced","tertiary","no","no","cellular","aug",99,-1,"no"
46,"married","primary","yes","no","cellular","apr",797,-1,"no"
45,"married","tertiary","no","no","cellular","sep",405,-1,"no"
30,"married","tertiary","no","no","cellular","aug",345,-1,"no"
37,"divorced","secondary","yes","no","cellular","may",165,175,"no"
29,"single","secondary","yes","no","cellular","jul",241,-1,"no"
38,"married","tertiary","no","no","cellular","aug",471,-1,"no"
27,"single","tertiary","no","no","cellular","oct",18,-1,"no"
53,"married","secondary","yes","no","cellular","nov",184,-1,"no"
37,"married","tertiary","yes","no","unknown","may",189,-1,"no"
49,"married","secondary","yes","no","cellular","jul",22,-1,"no"
45,"married","secondary","yes","no","unknown","jun",259,-1,"no"
27,"married","secondary","yes","no","unknown","may",82,-1,"no"
57,"married","primary","yes","yes","unknown","jun",238,-1,"no"
40,"single","secondary","yes","no","cellular","may",225,339,"no"
37,"married","tertiary","yes","no","cellular","nov",65,119,"no"
25,"single","secondary","yes","no","cellular","jul",342,-1,"no"
28,"married","secondary","yes","no","unknown","jun",816,-1,"no"
