age,marital,education,housing,loan,contact,month,duration,pdays,TermDeposit,contacted_before
48,married,primary,no,no,cellular,aug,219,,no,0
77,married,tertiary,no,no,cellular,aug,286,,yes,0
29,married,secondary,yes,no,unknown,jun,562,,yes,0
34,married,secondary,yes,no,cellular,jul,132,,no,0
54,married,primary,yes,no,cellular,may,77,341.0,no,1
39,married,primary,yes,no,unknown,jun,350,,no,0
35,married,primary,yes,no,cellular,may,318,,no,0
45,married,secondary,no,no,telephone,may,180,,no,0
58,married,primary,no,no,cellular,aug,112,,no,0
26,married,unknown,yes,no,cellular,apr,1018,,no,0
23,single,secondary,yes,no,unknown,may,544,,no,0
44,married,tertiary,no,no,cellular,aug,317,,no,0
53,married,tertiary,yes,no,unknown,may,509,,no,0
38,married,secondary,no,no,unknown,jun,115,,no,0
45,married,tertiary,yes,no,cellular,apr,73,,no,0
52,married,tertiary,no,no,cellular,aug,161,,no,0
41,divorced,secondary,yes,no,cellular,may,123,365.0,no,1
32,single,secondary,no,no,cellular,aug,210,,no,0
24,single,secondary,no,no,unknown,jun,1075,,no,0
43,single,primary,no,no,cellular,jul,35,,no,0
51,married,primary,no,no,unknown,jun,86,,no,0
40,married,primary,no,no,unknown,jun,14,,no,0
45,married,tertiary,yes,no,cellular,nov,146,,no,0
54,married,secondary,yes,yes,cellular,jul,69,,no,0
46,divorced,secondary,yes,yes,cellular,may,195,,no,0
66,married,secondary,no,no,cellular,aug,72,,no,0
52,divorced,tertiary,no,no,cellular,jul,454,,no,0
57,married,tertiary,no,no,cellular,aug,250,107.0,no,1
30,married,tertiary,yes,no,cellular,nov,206,119.0,no,1
47,married,secondary,yes,no,unknown,jun,89,,no,0
58,married,secondary,no,no,cellular,aug,110,,no,0
26,single,tertiary,yes,no,cellular,sep,137,,yes,0
46,divorced,primary,yes,no,unknown,may,20,,no,0
41,divorced,tertiary,no,no,telephone,feb,147,,no,0
54,married,secondary,yes,no,unknown,jun,534,,no,0
58,married,secondary,no,no,unknown,jun,443,,no,0
44,divorced,tertiary,no,yes,cellular,nov,661,,no,0
36,married,secondary,yes,no,unknown,may,178,,no,0
37,single,unknown,no,no,cellular,sep,272,,yes,0
55,married,tertiary,no,yes,cellular,jul,126,,no,0
40,single,tertiary,yes,no,cellular,jul,449,,no,0
55,married,unknown,no,no,unknown,may,677,,no,0
37,married,primary,yes,no,unknown,may,217,,no,0
39,married,secondary,yes,no,cellular,may,94,338.0,no,1
28,single,tertiary,yes,no,cellular,aug,108,,no,0
39,married,tertiary,yes,no,unknown,may,278,,no,0
38,single,secondary,yes,yes,cellular,apr,71,345.0,no,1
37,divorced,secondary,yes,no,unknown,may,507,,no,0
38,married,secondary,yes,no,cellular,may,218,331.0,no,1
41,divorced,tertiary,no,no,cellular,aug,229,,no,0
26,single,tertiary,yes,no,cellular,may,445,371.0,no,1
42,married,secondary,yes,no,unknown,may,55,,no,0
47,married,secondary,yes,yes,unknown,may,136,,no,0
35,married,secondary,no,no,cellular,jul,248,,no,0
33,single,tertiary,yes,no,cellular,oct,209,427.0,yes,1
49,divorced,tertiary,yes,no,unknown,may,169,,no,0
35,married,primary,yes,no,cellular,jul,127,,no,0
32,married,primary,no,no,unknown,may,881,,no,0
43,married,secondary,yes,yes,cellular,jul,56,,no,0
55,divorced,tertiary,yes,no,cellular,feb,115,,no,0
50,divorced,primary,yes,no,cellular,may,67,,no,0
33,married,tertiary,no,no,cellular,oct,649,,yes,0
40,married,primary,yes,no,unknown,jun,20,,no,0
39,married,secondary,no,no,cellular,aug,76,,no,0
29,single,secondary,no,no,cellular,feb,214,,no,0
47,divorced,tertiary,yes,no,cellular,jul,137,,no,0
33,married,tertiary,no,no,cellular,may,119,,no,0
60,married,secondary,no,no,telephone,jun,351,,yes,0
36,divorced,tertiary,no,yes,cellular,jul,560,,yes,0
35,married,tertiary,yes,no,cellular,aug,174,,no,0
22,single,secondary,yes,no,unknown,may,59,,no,0
33,married,secondary,yes,yes,cellular,may,771,173.0,no,1
39,divorced,tertiary,no,yes,cellular,feb,265,,no,0
57,divorced,unknown,no,no,cellular,dec,222,231.0,yes,1
57,married,primary,yes,yes,cellular,may,108,371.0,no,1
43,married,primary,yes,no,cellular,nov,25,,no,0
43,married,secondary,no,no,unknown,jun,27,,no,0
34,married,secondary,yes,no,cellular,apr,428,,no,0
44,single,unknown,yes,no,cellular,jul,297,,no,0
52,married,tertiary,yes,no,unknown,jun,124,,no,0
38,married,secondary,yes,no,cellular,apr,187,332.0,no,1
31,married,primary,yes,no,cellular,may,119,,no,0
38,married,secondary,yes,no,unknown,jun,601,,no,0
42,married,secondary,yes,no,cellular,may,261,344.0,no,1
29,married,tertiary,no,no,cellular,feb,128,,no,0
31,single,tertiary,no,no,cellular,feb,100,,no,0
54,divorced,tertiary,yes,yes,telephone,nov,1034,,yes,0
59,married,secondary,no,no,cellular,nov,243,174.0,no,1
43,married,secondary,no,no,unknown,jun,216,,no,0
38,single,secondary,no,no,cellular,jan,240,92.0,no,1
40,married,tertiary,yes,no,telephone,may,95,,no,0
33,single,tertiary,yes,no,unknown,may,237,,no,0
30,single,secondary,yes,no,cellular,apr,90,151.0,no,1
31,single,primary,no,no,cellular,jan,707,2.0,yes,1
25,single,secondary,yes,no,telephone,may,170,,no,0
42,married,secondary,yes,no,cellular,apr,179,,no,0
35,married,tertiary,no,no,cellular,aug,885,,no,0
28,single,primary,yes,no,cellular,may,533,371.0,yes,1
50,single,tertiary,yes,no,cellular,jan,50,258.0,no,1
50,married,primary,yes,no,cellular,aug,526,,yes,0
39,divorced,secondary,yes,no,cellular,nov,141,,no,0
49,married,tertiary,no,no,cellular,jul,258,,no,0
29,single,secondary,yes,yes,cellular,may,51,345.0,no,1
37,single,tertiary,no,no,cellular,nov,188,165.0,no,1
33,married,primary,yes,yes,cellular,may,170,,no,0
25,divorced,tertiary,yes,no,cellular,may,273,,no,0
29,married,primary,yes,no,unknown,jun,187,,no,0
38,married,unknown,no,no,cellular,jul,233,,no,0
40,divorced,secondary,yes,no,unknown,may,121,,no,0
37,married,secondary,no,no,cellular,jun,657,,yes,0
45,married,tertiary,yes,no,cellular,feb,94,,no,0
38,married,primary,yes,no,cellular,feb,43,,no,0
27,single,secondary,no,no,telephone,apr,116,,no,0
47,married,primary,no,no,unknown,jun,191,,no,0
39,married,tertiary,yes,yes,unknown,may,102,,no,0
38,married,secondary,no,yes,cellular,jul,93,,no,0
40,married,primary,yes,no,cellular,apr,228,347.0,no,1
41,single,tertiary,no,no,cellular,nov,1121,,no,0
36,married,secondary,no,no,cellular,feb,297,,no,0
52,married,tertiary,yes,no,telephone,may,46,287.0,no,1
31,single,secondary,yes,no,cellular,may,270,366.0,no,1
38,married,secondary,yes,yes,cellular,may,146,,no,0
38,married,tertiary,yes,no,cellular,feb,89,209.0,no,1
53,married,secondary,yes,no,cellular,may,273,,no,0
30,single,tertiary,yes,no,unknown,jun,142,,no,0
44,married,primary,yes,no,unknown,may,36,,no,0
41,divorced,tertiary,no,no,cellular,feb,475,,no,0
31,single,secondary,yes,no,cellular,may,82,,no,0
35,married,secondary,yes,yes,unknown,may,60,,no,0
51,married,secondary,no,yes,unknown,jun,721,,yes,0
33,single,tertiary,yes,no,cellular,may,585,,yes,0
60,married,secondary,no,no,telephone,aug,268,,no,0
33,married,secondary,no,no,cellular,aug,80,,no,0
40,married,tertiary,yes,no,cellular,jul,96,,no,0
26,single,secondary,yes,no,cellular,may,57,,no,0
47,married,secondary,yes,no,cellular,may,577,368.0,no,1
47,married,secondary,no,no,cellular,aug,252,,no,0
29,single,tertiary,no,no,cellular,oct,542,148.0,yes,1
33,single,secondary,no,yes,cellular,aug,160,,no,0
46,married,primary,yes,no,unknown,jun,92,,no,0
51,married,primary,yes,no,telephone,jul,215,,no,0
28,single,tertiary,yes,no,unknown,may,98,,no,0
41,married,primary,yes,no,cellular,nov,290,165.0,no,1
46,divorced,secondary,no,no,cellular,jul,638,,no,0
35,married,tertiary,no,no,cellular,aug,222,182.0,yes,1
37,married,secondary,yes,no,unknown,may,412,,no,0
32,single,tertiary,no,no,unknown,may,757,,yes,0
54,married,secondary,no,no,unknown,jun,207,,no,0
35,married,tertiary,yes,no,cellular,jul,56,,no,0
35,married,secondary,no,no,unknown,jun,209,,no,0
54,married,secondary,no,no,cellular,mar,222,188.0,yes,1
35,married,unknown,yes,no,cellular,apr,97,318.0,no,1
30,married,tertiary,no,no,cellular,nov,364,175.0,no,1
51,married,secondary,no,no,cellular,feb,149,,no,0
56,divorced,secondary,yes,no,cellular,nov,682,,no,0
32,married,secondary,no,no,cellular,jan,119,,no,0
33,married,secondary,no,no,unknown,may,144,,no,0
33,single,secondary,yes,no,cellular,aug,58,,no,0
52,single,tertiary,yes,yes,unknown,may,132,,no,0
33,single,tertiary,no,no,cellular,nov,201,,no,0
46,married,primary,yes,yes,unknown,may,108,,no,0
43,married,secondary,no,no,cellular,jul,231,,no,0
35,married,secondary,yes,yes,unknown,may,208,,no,0
39,married,secondary,no,no,unknown,jun,264,,no,0
45,married,secondary,no,no,unknown,jun,13,,no,0
81,married,primary,no,no,cellular,oct,131,,yes,0
32,single,tertiary,yes,no,cellular,feb,172,92.0,no,1
35,single,secondary,no,yes,cellular,jan,109,,no,0
49,divorced,primary,no,no,cellular,jul,305,,no,0
41,married,primary,yes,no,unknown,may,120,,no,0
32,married,secondary,yes,yes,cellular,may,44,,no,0
24,single,secondary,no,no,cellular,jul,314,156.0,yes,1
29,single,tertiary,yes,no,cellular,jul,231,,no,0
32,single,secondary,yes,yes,unknown,jul,99,,no,0
39,single,tertiary,yes,no,cellular,jan,169,,no,0
48,married,primary,no,no,cellular,sep,589,186.0,no,1
54,married,secondary,no,no,unknown,may,151,,no,0
31,single,tertiary,yes,no,unknown,may,58,,no,0
46,divorced,secondary,yes,no,unknown,may,120,,no,0
45,single,tertiary,no,no,cellular,jul,230,,no,0
46,single,tertiary,yes,no,unknown,may,36,,no,0
31,single,tertiary,no,no,cellular,feb,577,,no,0
54,married,tertiary,no,no,cellular,aug,282,,no,0
39,married,primary,yes,no,unknown,jun,88,,no,0
45,single,secondary,yes,no,cellular,may,86,367.0,no,1
64,married,unknown,no,no,telephone,sep,378,,no,0
39,married,tertiary,yes,yes,cellular,aug,88,,no,0
60,divorced,primary,no,yes,telephone,jul,58,,no,0
38,married,secondary,no,no,unknown,jun,76,,no,0
56,married,unknown,no,no,cellular,aug,900,,no,0
36,single,primary,no,no,cellular,nov,341,,no,0
50,married,primary,no,yes,cellular,nov,61,136.0,no,1
33,married,primary,yes,no,cellular,may,246,,no,0
35,single,tertiary,no,no,cellular,aug,256,,no,0
52,married,secondary,yes,yes,cellular,jan,446,182.0,no,1
32,married,secondary,yes,no,unknown,may,84,,no,0
60,married,secondary,no,no,cellular,jan,139,171.0,no,1
34,married,secondary,no,yes,unknown,jul,193,,no,0
35,married,tertiary,yes,no,unknown,may,659,,no,0
33,married,secondary,no,no,cellular,nov,109,10.0,no,1
25,single,secondary,no,no,cellular,dec,262,,no,0
30,single,secondary,no,no,telephone,nov,519,,no,0
38,married,secondary,no,no,cellular,aug,195,197.0,yes,1
59,married,primary,no,yes,cellular,jul,25,,no,0
31,single,secondary,no,yes,cellular,jul,120,,no,0
36,married,secondary,no,no,cellular,jan,424,,no,0
33,married,tertiary,yes,no,unknown,sep,11,490.0,no,1
39,married,tertiary,yes,no,cellular,jul,97,,no,0
36,single,tertiary,no,no,cellular,may,211,90.0,yes,1
33,single,primary,no,no,cellular,feb,382,,no,0
38,married,secondary,yes,no,cellular,aug,71,,no,0
46,married,tertiary,yes,no,cellular,nov,284,,no,0
28,single,tertiary,no,no,cellular,sep,1042,200.0,yes,1
45,married,secondary,yes,no,unknown,may,609,,no,0
46,married,secondary,yes,yes,cellular,aug,122,,no,0
29,single,secondary,yes,yes,cellular,may,228,,no,0
57,married,secondary,no,no,cellular,jul,131,,no,0
36,divorced,secondary,yes,no,unknown,may,129,,no,0
25,single,secondary,yes,yes,unknown,jun,361,,no,0
36,married,secondary,yes,no,unknown,may,206,,no,0
28,single,secondary,no,no,cellular,feb,79,,yes,0
59,divorced,secondary,no,yes,cellular,feb,14,,no,0
35,married,secondary,no,yes,unknown,jun,107,,no,0
47,divorced,tertiary,no,no,cellular,feb,291,,no,0
56,married,primary,yes,no,cellular,may,1014,,no,0
38,married,secondary,yes,no,telephone,jul,264,,no,0
41,single,tertiary,yes,no,cellular,nov,150,,no,0
57,divorced,secondary,yes,no,unknown,may,173,,no,0
33,married,secondary,yes,no,unknown,may,410,,no,0
46,married,secondary,yes,yes,unknown,may,345,,no,0
30,single,secondary,no,yes,cellular,aug,43,,no,0
50,married,tertiary,yes,no,cellular,aug,36,,no,0
24,single,secondary,yes,no,cellular,may,85,358.0,no,1
31,married,primary,yes,no,cellular,apr,193,322.0,no,1
28,married,primary,yes,no,unknown,jun,41,,no,0
55,divorced,primary,no,no,telephone,feb,225,6.0,no,1
47,married,secondary,yes,no,cellular,nov,92,,no,0
48,married,secondary,yes,no,cellular,apr,152,336.0,no,1
56,married,primary,yes,no,telephone,may,462,,yes,0
40,married,unknown,no,yes,cellular,jul,161,,no,0
33,divorced,secondary,yes,no,unknown,may,148,,no,0
26,single,secondary,no,no,cellular,jun,113,109.0,no,1
47,married,primary,no,no,unknown,jun,180,,no,0
38,married,secondary,no,no,unknown,jul,84,,no,0
28,single,secondary,no,no,cellular,sep,115,,yes,0
31,single,tertiary,no,yes,cellular,jul,564,,yes,0
31,single,tertiary,no,no,cellular,aug,125,,no,0
47,married,tertiary,no,no,cellular,jun,154,,no,0
22,single,primary,yes,no,cellular,may,237,,no,0
52,single,tertiary,yes,no,cellular,nov,79,,no,0
30,single,tertiary,yes,no,cellular,aug,241,,no,0
25,married,tertiary,yes,no,cellular,jul,115,,no,0
41,married,secondary,yes,no,telephone,may,64,347.0,no,1
57,married,secondary,no,no,cellular,jun,88,,no,0
44,married,secondary,no,no,cellular,aug,159,,no,0
38,married,tertiary,yes,no,unknown,may,262,,no,0
32,married,secondary,yes,yes,cellular,aug,341,,no,0
21,married,secondary,yes,yes,unknown,may,168,,no,0
24,single,secondary,no,no,cellular,sep,256,,yes,0
54,married,tertiary,yes,no,unknown,may,83,,no,0
54,married,tertiary,no,no,cellular,aug,150,,no,0
51,married,secondary,no,no,cellular,aug,467,88.0,yes,1
27,married,secondary,yes,no,unknown,jun,188,,no,0
49,married,tertiary,yes,no,cellular,aug,152,,no,0
36,married,tertiary,no,no,cellular,aug,184,,no,0
42,married,primary,yes,yes,unknown,may,272,,no,0
26,single,secondary,yes,no,cellular,may,599,,no,0
77,married,primary,no,no,telephone,nov,212,277.0,yes,1
44,married,primary,yes,no,unknown,may,408,,no,0
37,married,tertiary,no,no,cellular,jan,153,225.0,no,1
46,single,tertiary,yes,no,cellular,jul,87,,no,0
32,married,tertiary,yes,no,cellular,jul,29,,no,0
35,married,tertiary,no,no,cellular,jun,80,92.0,no,1
52,married,secondary,no,no,cellular,jan,338,,no,0
32,married,secondary,no,no,cellular,may,215,,no,0
49,divorced,secondary,yes,yes,cellular,may,469,350.0,no,1
41,married,primary,yes,no,cellular,apr,122,338.0,no,1
41,married,primary,yes,yes,unknown,may,207,,no,0
40,divorced,secondary,yes,yes,unknown,may,385,,no,0
27,single,unknown,no,no,unknown,jun,240,,no,0
53,married,secondary,yes,no,telephone,jul,182,,no,0
37,married,secondary,yes,no,cellular,nov,68,194.0,no,1
31,single,tertiary,no,no,cellular,aug,179,,no,0
40,single,tertiary,yes,no,unknown,may,181,,no,0
39,married,tertiary,yes,no,cellular,may,112,,no,0
34,married,secondary,no,no,cellular,aug,192,,no,0
50,married,secondary,yes,yes,cellular,jan,391,191.0,no,1
43,divorced,secondary,yes,no,telephone,feb,362,,no,0
54,divorced,tertiary,no,no,cellular,aug,56,,no,0
37,single,secondary,yes,no,telephone,jan,143,,no,0
47,divorced,secondary,yes,no,unknown,may,268,,no,0
54,married,tertiary,no,no,cellular,nov,206,,no,0
28,single,secondary,yes,no,cellular,may,92,,no,0
36,married,tertiary,yes,no,unknown,may,125,,no,0
29,single,primary,no,no,cellular,jan,451,,no,0
35,married,secondary,yes,no,cellular,apr,123,,no,0
35,married,primary,yes,no,unknown,may,212,,no,0
32,single,primary,yes,no,unknown,jun,25,,no,0
32,married,tertiary,no,no,cellular,aug,195,,no,0
67,divorced,secondary,no,no,cellular,may,613,87.0,yes,1
39,single,unknown,yes,yes,cellular,feb,99,,no,0
54,married,secondary,yes,yes,cellular,nov,92,,no,0
32,married,secondary,yes,no,cellular,may,88,370.0,no,1
52,divorced,tertiary,yes,yes,cellular,jun,122,64.0,no,1
32,single,tertiary,yes,no,cellular,nov,171,127.0,no,1
34,married,tertiary,no,no,cellular,aug,472,,no,0
47,married,tertiary,yes,no,unknown,jun,130,,no,0
61,married,primary,yes,no,unknown,may,204,,no,0
49,married,secondary,no,no,unknown,jun,13,,no,0
36,single,tertiary,no,no,cellular,aug,150,,no,0
45,married,secondary,yes,yes,cellular,aug,368,,no,0
40,single,secondary,yes,no,cellular,apr,234,323.0,no,1
42,married,secondary,yes,yes,cellular,feb,43,,no,0
45,married,secondary,no,no,cellular,jul,95,,no,0
53,married,secondary,no,yes,cellular,aug,58,,no,0
51,single,primary,yes,no,cellular,may,98,,no,0
22,single,secondary,no,no,unknown,may,223,,no,0
33,married,secondary,yes,yes,unknown,may,221,,no,0
35,single,secondary,yes,no,cellular,nov,21,185.0,no,1
36,married,tertiary,no,no,cellular,aug,242,95.0,yes,1
34,single,tertiary,no,no,cellular,nov,115,,no,0
22,married,secondary,yes,no,unknown,jun,525,,no,0
47,single,unknown,no,no,cellular,oct,385,,yes,0
47,married,secondary,yes,no,cellular,aug,151,,no,0
38,married,tertiary,yes,no,cellular,sep,91,213.0,no,1
37,single,tertiary,no,no,unknown,jun,542,,no,0
43,married,secondary,no,no,unknown,may,180,,no,0
58,divorced,primary,no,yes,cellular,jul,161,,no,0
39,divorced,tertiary,no,no,cellular,aug,68,,no,0
31,single,secondary,yes,no,unknown,may,89,,no,0
40,single,secondary,yes,no,cellular,may,7,360.0,no,1
42,divorced,primary,yes,no,cellular,jul,1175,,yes,0
36,divorced,secondary,yes,no,unknown,may,153,,no,0
66,divorced,primary,no,no,telephone,mar,834,,yes,0
61,married,primary,no,no,cellular,oct,55,,no,0
60,married,tertiary,no,yes,cellular,jul,79,,no,0
30,single,secondary,yes,no,cellular,jul,112,,no,0
33,single,secondary,no,no,cellular,aug,168,,no,0
32,married,tertiary,no,no,cellular,aug,186,,no,0
49,married,secondary,no,no,unknown,may,206,,no,0
35,married,secondary,no,no,cellular,jul,153,,no,0
53,married,tertiary,yes,no,cellular,jul,471,,no,0
30,single,secondary,no,yes,cellular,jul,169,,no,0
31,single,tertiary,no,no,cellular,feb,144,91.0,yes,1
53,divorced,secondary,no,no,cellular,jul,416,,no,0
32,divorced,tertiary,no,no,unknown,may,148,,no,0
31,single,secondary,yes,no,unknown,may,128,,no,0
48,divorced,tertiary,no,no,cellular,aug,152,,no,0
55,divorced,tertiary,no,no,cellular,aug,237,,yes,0
32,single,secondary,yes,no,cellular,may,238,169.0,no,1
25,married,secondary,yes,no,cellular,may,177,,no,0
32,divorced,tertiary,no,no,cellular,aug,99,,no,0
46,married,primary,yes,no,cellular,apr,797,,no,0
45,married,tertiary,no,no,cellular,sep,405,,no,0
30,married,tertiary,no,no,cellular,aug,345,,no,0
37,divorced,secondary,yes,no,cellular,may,165,175.0,no,1
29,single,secondary,yes,no,cellular,jul,241,,no,0
38,married,tertiary,no,no,cellular,aug,471,,no,0
27,single,tertiary,no,no,cellular,oct,18,,no,0
53,married,secondary,yes,no,cellular,nov,184,,no,0
37,married,tertiary,yes,no,unknown,may,189,,no,0
49,married,secondary,yes,no,cellular,jul,22,,no,0
45,married,secondary,yes,no,unknown,jun,259,,no,0
27,married,secondary,yes,no,unknown,may,82,,no,0
57,married,primary,yes,yes,unknown,jun,238,,no,0
40,single,secondary,yes,no,cellular,may,225,339.0,no,1
37,married,tertiary,yes,no,cellular,nov,65,119.0,no,1
25,single,secondary,yes,no,cellular,jul,342,,no,0
28,married,secondary,yes,no,unknown,jun,816,,no,0
41,divorced,tertiary,no,no,cellular,nov,39,,no,0
34,married,secondary,yes,no,cellular,jul,154,,no,0
53,married,tertiary,no,yes,cellular,jul,223,,no,0
45,married,secondary,yes,no,telephone,jul,208,,no,0
37,married,secondary,yes,no,unknown,may,176,,no,0
38,married,secondary,yes,no,unknown,may,134,,no,0
34,married,tertiary,yes,no,cellular,aug,593,,yes,0
36,single,tertiary,yes,no,cellular,sep,155,184.0,yes,1
39,single,secondary,yes,no,cellular,may,149,,no,0
31,divorced,tertiary,no,yes,cellular,jul,53,,no,0
32,married,primary,yes,no,cellular,apr,297,,no,0
72,single,tertiary,no,no,cellular,aug,553,,no,0
41,married,secondary,yes,yes,unknown,may,210,,no,0
38,married,tertiary,yes,no,unknown,jul,196,,no,0
59,divorced,tertiary,yes,no,telephone,may,287,,no,0
36,divorced,unknown,yes,no,unknown,may,377,,no,0
38,married,secondary,no,no,cellular,aug,926,,yes,0
36,single,secondary,no,no,cellular,nov,186,,no,0
49,married,secondary,yes,no,cellular,may,219,,no,0
36,single,tertiary,no,yes,unknown,jul,85,,no,0
33,married,primary,yes,yes,cellular,nov,158,,no,0
40,married,secondary,yes,yes,cellular,jul,140,,no,0
56,divorced,secondary,yes,yes,cellular,feb,576,,no,0
33,married,secondary,yes,no,unknown,may,54,,no,0
32,married,secondary,yes,no,cellular,jul,103,,no,0
45,single,secondary,yes,no,cellular,nov,34,,no,0
44,single,unknown,no,no,cellular,oct,189,185.0,no,1
53,single,primary,yes,no,unknown,jun,96,,no,0
38,married,secondary,yes,yes,unknown,jun,1030,,no,0
49,divorced,tertiary,no,no,unknown,jun,29,,no,0
60,divorced,tertiary,no,no,cellular,jul,490,,no,0
40,married,secondary,no,no,cellular,aug,1099,,no,0
42,divorced,secondary,no,no,cellular,may,300,358.0,no,1
32,married,secondary,yes,no,unknown,may,297,,no,0
50,single,tertiary,yes,no,cellular,jul,198,,no,0
50,married,secondary,yes,no,telephone,jul,27,,no,0
39,married,tertiary,no,no,cellular,aug,86,,no,0
41,married,secondary,no,no,cellular,nov,90,,no,0
33,single,secondary,yes,no,cellular,apr,97,,no,0
31,single,secondary,yes,no,unknown,jun,213,,no,0
52,married,tertiary,yes,no,cellular,jul,94,,no,0
75,married,secondary,no,no,telephone,aug,416,,no,0
55,married,primary,no,no,telephone,apr,222,,no,0
31,single,secondary,yes,yes,cellular,jul,144,,no,0
56,divorced,unknown,yes,no,cellular,jul,121,,no,0
60,married,secondary,no,no,telephone,oct,138,,no,0
55,married,tertiary,no,no,unknown,jun,462,,no,0
35,married,secondary,yes,no,cellular,nov,340,183.0,no,1
35,married,tertiary,yes,yes,cellular,oct,142,,no,0
60,single,tertiary,no,no,cellular,may,730,,yes,0
38,married,secondary,yes,no,cellular,may,12,,no,0
39,married,tertiary,yes,no,unknown,jun,85,,no,0
45,married,primary,no,no,cellular,aug,73,,no,0
42,single,tertiary,no,no,cellular,aug,143,,no,0
42,married,secondary,no,no,cellular,jun,133,399.0,no,1
53,married,tertiary,yes,no,unknown,may,122,,no,0
49,married,secondary,yes,no,cellular,feb,243,,no,0
43,married,secondary,yes,yes,cellular,feb,140,,no,0
42,married,primary,yes,yes,cellular,nov,611,175.0,no,1
43,married,tertiary,no,no,cellular,nov,107,,no,0
33,married,primary,yes,no,cellular,may,327,,no,0
34,single,tertiary,yes,no,cellular,apr,143,,no,0
48,married,tertiary,no,no,cellular,jan,223,,no,0
44,married,unknown,yes,no,unknown,jun,118,,no,0
30,single,secondary,no,no,cellular,jul,396,,yes,0
37,married,primary,yes,no,cellular,apr,264,,no,0
40,divorced,tertiary,yes,no,cellular,may,193,,no,0
37,married,secondary,yes,no,unknown,may,215,,no,0
55,divorced,tertiary,yes,no,cellular,jul,66,,no,0
50,married,secondary,yes,no,unknown,may,214,,no,0
37,married,unknown,yes,no,telephone,nov,178,,no,0
36,married,tertiary,no,yes,cellular,aug,89,,no,0
39,single,tertiary,yes,no,cellular,dec,315,210.0,yes,1
56,married,tertiary,yes,yes,cellular,may,221,169.0,no,1
29,married,primary,yes,no,unknown,may,33,,no,0
61,married,primary,no,no,telephone,jul,186,,no,0
49,married,secondary,no,no,cellular,dec,62,202.0,no,1
34,married,secondary,yes,no,unknown,jun,52,,no,0
34,married,secondary,yes,no,unknown,may,182,,no,0
30,married,primary,yes,no,unknown,may,764,,no,0
31,single,tertiary,no,no,cellular,feb,406,,no,0
38,married,secondary,yes,no,unknown,may,784,,no,0
30,married,secondary,yes,no,cellular,may,444,,no,0
42,single,primary,yes,no,unknown,jun,69,,no,0
35,married,secondary,yes,yes,cellular,jan,144,266.0,no,1
63,married,secondary,no,no,cellular,may,698,316.0,no,1
41,married,tertiary,no,no,cellular,aug,736,,yes,0
52,married,secondary,no,yes,cellular,aug,218,,no,0
30,single,secondary,no,no,cellular,aug,256,,no,0
50,divorced,secondary,yes,no,telephone,apr,151,,no,0
31,single,tertiary,no,no,cellular,aug,156,,no,0
40,married,tertiary,no,no,cellular,sep,263,,no,0
59,married,secondary,no,no,telephone,jul,175,,no,0
43,married,unknown,yes,no,cellular,jul,380,,no,0
31,married,tertiary,yes,yes,cellular,jul,104,,no,0
43,married,tertiary,no,yes,cellular,jul,88,,no,0
27,married,tertiary,no,no,cellular,feb,159,,yes,0
46,married,secondary,yes,no,unknown,jun,83,,no,0
25,single,secondary,no,no,telephone,jul,168,,no,0
55,divorced,secondary,yes,no,cellular,jan,342,,no,0
40,married,tertiary,no,no,cellular,aug,140,,no,0
38,married,tertiary,yes,no,unknown,may,206,,no,0
29,single,unknown,no,no,cellular,aug,173,,no,0
43,married,secondary,yes,no,unknown,may,411,,no,0
37,single,secondary,yes,no,unknown,may,284,,no,0
38,married,secondary,yes,no,cellular,feb,123,258.0,no,1
62,married,secondary,no,no,cellular,sep,123,,no,0
54,divorced,secondary,no,no,cellular,feb,439,,yes,0
44,married,secondary,yes,no,unknown,may,35,,no,0
54,married,primary,no,no,cellular,jul,255,,no,0
75,married,secondary,no,no,cellular,aug,350,182.0,yes,1
36,married,tertiary,no,yes,cellular,aug,156,,no,0
37,married,secondary,yes,yes,cellular,feb,77,202.0,no,1
43,married,primary,yes,no,cellular,jul,63,,no,0
50,married,secondary,no,no,cellular,aug,148,,no,0
53,divorced,unknown,yes,no,unknown,jun,676,,no,0
51,married,secondary,no,no,telephone,jul,183,,no,0
40,married,secondary,yes,no,cellular,nov,280,,no,0
45,married,tertiary,no,no,cellular,nov,401,,no,0
57,married,primary,yes,no,telephone,apr,137,,no,0
58,married,secondary,no,no,cellular,jan,339,,no,0
32,single,secondary,yes,no,cellular,nov,268,,no,0
35,single,secondary,yes,no,unknown,may,218,,no,0
36,married,secondary,yes,no,cellular,jul,279,,no,0
31,married,secondary,yes,no,cellular,jul,266,,no,0
42,single,primary,yes,yes,unknown,may,167,,no,0
34,married,secondary,yes,no,unknown,may,494,,no,0
38,married,tertiary,no,no,cellular,apr,240,179.0,yes,1
32,single,secondary,no,no,unknown,jun,406,,no,0
48,married,secondary,no,no,cellular,jan,412,,no,0
35,divorced,tertiary,yes,yes,cellular,aug,51,,no,0
31,married,secondary,yes,no,cellular,jul,126,,no,0
73,married,tertiary,no,no,cellular,feb,281,,yes,0
37,married,primary,no,no,cellular,nov,101,80.0,no,1
41,married,primary,yes,no,unknown,jun,87,,no,0
33,single,secondary,no,no,cellular,aug,338,104.0,yes,1
59,divorced,tertiary,no,yes,cellular,jul,136,,no,0
35,married,secondary,yes,no,cellular,apr,41,,no,0
